country,code,year,population,gdp_per_capita_usd,gdp_per_capita_growth_pct,gdp_usd,co2_per_capita_t,annual_co2_t,share_global_annual_co2_pct,cumulative_co2_t,share_global_cumulative_co2_pct,territorial_co2_t,consumption_co2_t,flaring_co2_t,cement_co2_t,gas_co2_t,oil_co2_t,coal_co2_t,co2_per_unit_energy_kg_kwh,hdi
Chile,CHL,1999,15319313,4933.555815167552,-1.5203580468630093,75578685735.52188,4.0085335,61407972,0.24723625,1491306100,0.14623441,61407972,60421070,1.22503638452675,1.54836573987494,14.7077972221587,52.3633413590014,30.1554592944381,0.20950116,0.766
Chile,CHL,2000,15503635,5052.992457663253,3.7236187317844553,78339750721.36403,3.7734768,58502620,0.22931877,1549808800,0.14826213,58502620,60947636,1.203130691684,1.72714129126773,20.3734321723632,52.3521424927096,24.3441533519753,0.19031972,0.771
Chile,CHL,2001,15683849,4563.595298668896,1.968751819036612,71574739561.43288,3.3740683,52918388,0.20596428,1602727200,0.14964637,52918388,54629310,1.24140213794872,1.91465393843818,25.5439224641536,53.7952667794793,17.50475467998,0.16888222,0.778
Chile,CHL,2002,15857925,4430.847411579841,2.0699188584777346,70264045939.27725,3.4579308,54835612,0.20877562,1657562800,0.15106174,54835612,58811770,0.99910071215945,1.96795830476081,24.6290745395697,55.2984864051761,17.1053800383338,0.1709332,0.784
Chile,CHL,2003,16024752,4773.401775207537,3.6330153019671627,76492579644.06053,3.4384434,55100212,0.19925804,1712663000,0.1522465,55100212,55011990,0.760826459963049,2.02052939432375,26.745101693164,53.6963441502485,16.7771983023005,0.1708588,0.789
Chile,CHL,2004,16187322,6120.59152055344,5.602919854861682,99075985773.66815,3.6584854,59221090,0.2069942,1771884000,0.15360434,59221090,58686410,0.644847964722568,2.01531579348985,27.0989958628084,52.8925345195008,17.3483058594783,0.1720048,0.797
Chile,CHL,2005,16348778,7480.3233099863555,4.791828391397161,122294145163.19211,3.7382884,61116456,0.20648183,1833000600,0.15492722,61116456,63158604,0.556689674545264,1.88484914766654,25.4552456379342,55.3468774432863,16.7563380965676,0.17103791,0.804
Chile,CHL,2006,16509195,9318.656552961205,5.019521358274574,153843518170.86438,3.879552,64048280,0.20934811,1897048800,0.15629898,64048280,66418108,0.326055594311041,1.93033286764297,22.3793176022837,55.7938324026812,19.5704615330809,0.17325221,0.804
Chile,CHL,2007,16671581,10346.413818453251,4.143862129278617,172491076033.86267,4.226911,70469250,0.22371718,1967518100,0.15800439,70469250,73028010,0.23166276295425,1.86809579129164,12.4363983181599,67.012013538672,18.451829588922,0.19081917,0.812
Chile,CHL,2008,16838988,10683.218877251113,2.757556992850212,179894594475.40497,4.189623,70549010,0.22012405,2038067100,0.15956311,70549010,84474530,0.191033133870127,1.85322211005119,6.83955657610996,67.3984547878469,23.7177333921217,0.19103149,0.82
Chile,CHL,2009,17009731,10098.801716728622,-2.110610426924282,171777900623.89206,3.8777666,65959764,0.2093096,2104026900,0.16076091,65959764,65879544,0.212132373196396,1.6383049798333,9.67108460282707,68.1197617492774,20.3587162948657,0.1861312,0.819
Chile,CHL,2010,17181464,12632.870472419238,4.793637480146359,217051209238.53412,4.1525846,71347480,0.21414307,2175374300,0.1620861,71347480,76565570,0.123149402260477,1.46670755885382,14.3337177924875,60.9144536008427,23.1619716455554,0.19603775,0.823
Chile,CHL,2011,17351816,14487.392783203195,5.1810403333439865,251382573893.86972,4.4993253,78071440,0.22642536,2253445600,0.16369765,78071440,88349910,0.0841357618629266,1.38344446296167,13.3848282212397,58.4436390368057,26.7039525171298,0.20240875,0.823
Chile,CHL,2012,17519119,15241.906998111876,5.141584312510346,267024782486.85474,4.5448008,79620890,0.22778285,2333066800,0.16528462,79620890,95012376,0.0546439522252,1.41605554562516,12.3190386924596,56.7218793138805,29.4883824958093,0.19769478,0.832
Chile,CHL,2013,17687006,15683.548636915513,2.327892560981823,277395018842.4165,4.6210914,81733270,0.23169772,2414800000,0.16690388,81733270,92657130,0.0573389521468913,1.32838440611007,11.3685701228957,56.1749022910119,31.0708042278353,0.19753821,0.845
Chile,CHL,2014,17864195,14529.676720633584,0.7830020863754328,259560978224.3589,4.3431134,77586210,0.2187641,2492386000,0.1681447,77586210,85494640,0.0821228518077618,1.31712204076275,10.6922171809101,56.4788970640234,31.4296408624958,0.18945001,0.849
Chile,CHL,2015,18047625,13433.920298703233,1.113704459474647,242450355830.88394,4.5312576,81778460,0.2309896,2574164500,0.1696107,81778460,88168504,0.109641338082391,1.26337298933305,11.1427480746703,54.2352092657355,33.2490283321787,0.19742295,0.855
Chile,CHL,2016,18267221,13649.85204528032,0.5298335172986697,249344863928.43762,4.6121125,84250500,0.23804395,2658415000,0.17117022,84250500,88830390,0.119041431434133,1.32972506192515,11.8117092695201,54.6748215698995,32.064702667221,0.19416879,0.859
Chile,CHL,2017,18558868,14879.90862271865,-0.23511016742517654,276154259981.0972,4.533392,84134620,0.23387223,2742549800,0.17258972,84134620,88806150,0.0687172501062107,1.0874607343583,11.8187560926165,54.0379333008013,32.9871326221176,0.18682182,0.862
Chile,CHL,2018,18893191,15659.480867562766,2.1498819546391417,295857562991.70905,4.469476,84442640,0.22987594,2826992400,0.17388408,84442640,92760190,0.105077242846096,0.865013200321231,11.8195449166547,55.1535372377382,32.0568274024396,0.18032598,0.866
Chile,CHL,2019,19197744,14495.716721686993,-0.9620960160308556,278285058719.4661,4.7910333,91977050,0.24800637,2918969300,0.1755372,91977050,97967800,0.0499657240590837,0.913777927998823,13.1025845446753,52.2111493636477,33.7225224396189,0.19405311,0.867
Chile,CHL,2020,19370624,13114.815470545014,-6.981130619844507,254042159309.31055,4.1391664,80178220,0.22804967,2999147500,0.17662448,80178220,83111140,0.0347026906471272,1.09715953912222,13.7728124449156,53.6746705816782,31.4206547436366,0.18120287,0.856
Chile,CHL,2021,19456334,16206.832549342107,10.824550522267032,315325547162.07153,4.298362,83630310,0.22684412,3082777900,0.17769164,83630310,91101780,0.0138980713320095,1.12891128980523,14.4485272677875,55.590467805159,28.8181955659161,0.17537817,0.865
Chile,CHL,2022,19553036,15405.616577407298,1.6487781321864503,301226575540.2417,4.385191,85743784,0.22848088,3168521700,0.17876703,85743784,92385120,0.00953305337050835,0.992550107009552,15.006419940661,60.8313685063435,23.1601283926153,0.1702937,0.869
Chile,CHL,2023,19658835,17067.036479915365,-0.019613225892854302,335518054097.63696,3.9475496,77604216,0.20371746,3246125800,0.179292,77604216,88156550,0.00713749863441701,1.09665430814598,17.3266316529341,66.4532796400319,15.1162969002535,0.1559904,0.878
Chile,CHL,2024,19764771,16709.889397230672,2.0941545148582748,330267137371.5923,3.983124,78725544,0.2039597,3324851500,0.17980689,78725544,88235750,0.00749820188596735,1.08103417161655,15.9534997669942,69.1450872341417,13.8128806253614,0.15176545,0.878
